trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.25, 'e': 0.9003245225862656}",20,0,-137.75036036132542,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
43,False,"{'a': 0.25, 'e': 0.8980765224508026}",20,11,-39.46044366294902,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
44,False,"{'a': 0.25, 'e': 0.8958341352965282}",20,0,-94.33129643340325,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
45,False,"{'a': 0.25, 'e': 0.8935973471085157}",25,0,-83.78754215413943,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
46,False,"{'a': 0.25, 'e': 0.8913661439068313}",30,0,-187.43703620458086,"{0: 16, 1: 3, 2: 7, 3: 2, 4: 2}",0
47,False,"{'a': 0.25, 'e': 0.889140511746448}",25,0,-85.38691918108715,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
48,False,"{'a': 0.25, 'e': 0.8869204367171575}",20,0,-194.61472111410833,"{0: 7, 1: 1, 2: 8, 3: 2, 4: 2}",0
49,False,"{'a': 0.25, 'e': 0.8847059049434836}",20,0,-93.0910947982031,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
50,False,"{'a': 0.25, 'e': 0.8824969025845955}",25,0,-80.64213662922297,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
51,False,"{'a': 0.25, 'e': 0.8802934158342212}",20,0,-59.76062434065578,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
52,False,"{'a': 0.25, 'e': 0.8780954309205613}",20,0,-137.9298880533617,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
53,False,"{'a': 0.25, 'e': 0.8759029341062031}",20,2,-186.27643206779373,"{0: 8, 1: 1, 2: 5, 3: 1, 4: 3}",1
54,False,"{'a': 0.25, 'e': 0.8737159116880344}",25,0,-180.69559796368452,"{0: 11, 1: 2, 2: 8, 3: 3, 4: 1}",0
55,False,"{'a': 0.25, 'e': 0.8715343499971578}",35,0,-290.38602514067907,"{0: 19, 1: 0, 2: 11, 3: 0, 4: 5}",0
56,False,"{'a': 0.25, 'e': 0.8693582353988059}",25,0,-75.28521431865767,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
57,False,"{'a': 0.25, 'e': 0.8671875542922549}",30,0,-221.07188311538746,"{0: 18, 1: 1, 2: 6, 3: 1, 4: 4}",0
58,False,"{'a': 0.25, 'e': 0.8650222931107413}",25,0,-140.5590068291184,"{0: 13, 1: 1, 2: 9, 3: 1, 4: 1}",0
59,False,"{'a': 0.25, 'e': 0.8628624383213754}",20,0,-197.61873987073122,"{0: 7, 1: 2, 2: 8, 3: 0, 4: 3}",0
60,False,"{'a': 0.25, 'e': 0.8607079764250578}",25,0,-65.63585450189676,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
61,False,"{'a': 0.25, 'e': 0.8585588939563946}",30,0,-229.31283740093332,"{0: 16, 1: 2, 2: 6, 3: 3, 4: 3}",0
62,False,"{'a': 0.25, 'e': 0.8564151774836135}",20,0,-151.07408233256734,"{0: 9, 1: 2, 2: 5, 3: 3, 4: 1}",0
63,False,"{'a': 0.25, 'e': 0.8542768136084795}",20,5,-36.43311584934069,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 0}",1
